,Symbol,Owner,Relationship,Date,Cost,Number of Shares,Value,Total Shares,Filing,Type
45,TENB,"Insight Holdings Group, LLC",10% Owner,"Jul 21, 2020",$31.57,149992,4735053,7264741,"Jul 22, 2020, 08:35 PM",sell
46,TENB,"Insight Holdings Group, LLC",10% Owner,"Jul 20, 2020",$31.25,62497,1953300,7357169,"Jul 22, 2020, 08:35 PM",sell
47,TENB,"Insight Holdings Group, LLC",10% Owner,"Jul 22, 2020",$31.35,635640,19928204,6873043,"Jul 22, 2020, 08:35 PM",sell
48,PFSI,Botein Matthew,Director,"Jul 20, 2020",$44.04,13615,599575,318087,"Jul 22, 2020, 08:28 PM",sell
49,PFSI,Botein Matthew,Director,"Jul 22, 2020",$44.66,3190,142464,311802,"Jul 22, 2020, 08:28 PM",sell
50,PFSI,Botein Matthew,Director,"Jul 21, 2020",$44.16,3095,136687,314992,"Jul 22, 2020, 08:28 PM",sell
51,MTCH,LEVIN JOSEPH,Director,"Jul 20, 2020",$97.40,458660,44671453,787930,"Jul 22, 2020, 08:17 PM",sell
52,GWPH,Knappertz Volker,Chief Medical Officer,"Jul 20, 2020",$11.42,6000,68520,53940,"Jul 22, 2020, 08:00 PM",sell
53,ARES,deVeer R. Kipp,Head of Credit Group,"Jul 22, 2020",$41.03,1848,75823,1042050,"Jul 22, 2020, 07:59 PM",sell
54,ARES,deVeer R. Kipp,Head of Credit Group,"Jul 21, 2020",$41.03,5665,232435,1043898,"Jul 22, 2020, 07:59 PM",sell
55,ARES,deVeer R. Kipp,Head of Credit Group,"Jul 20, 2020",$41.11,53375,2194246,1049563,"Jul 22, 2020, 07:59 PM",sell
56,TWTR,Montano Michael,Engineering Lead,"Jul 20, 2020",$35.81,1750,62668,729406,"Jul 22, 2020, 07:56 PM",sell
57,APPF,Schauser Klaus,Director,"Jul 20, 2020",$152.66,15798,2411721,14498,"Jul 22, 2020, 07:56 PM",sell
58,IRTC,Vort David A,"EVP, Sales","Jul 20, 2020",$119.76,5264,630416,19981,"Jul 22, 2020, 07:28 PM",sell
59,SGH,Dow Stephen C.,Senior Vice President,"Jul 20, 2020",$27.79,696,19345,25218,"Jul 22, 2020, 07:22 PM",sell
60,TIG,O'Brien Andrew,President and CEO,"Jul 22, 2020",$13.95,160282,2235934,4100558,"Jul 22, 2020, 07:15 PM",sell
61,TIG,O'Brien Andrew,President and CEO,"Jul 20, 2020",$13.95,470425,6562429,4260840,"Jul 22, 2020, 07:15 PM",sell
62,TIG,"Altaris Partners, LLC",Director,"Jul 20, 2020",$13.95,1580282,22044934,23854902,"Jul 22, 2020, 07:14 PM",sell
63,TIG,"Altaris Partners, LLC",Director,"Jul 22, 2020",$13.95,1046860,14603697,23003209,"Jul 22, 2020, 07:14 PM",sell
64,TIG,Tully Daniel,Director,"Jul 22, 2020",$13.95,1046860,14603697,23003209,"Jul 22, 2020, 07:13 PM",sell
65,TIG,Tully Daniel,Director,"Jul 20, 2020",$13.95,1580282,22044934,23854902,"Jul 22, 2020, 07:13 PM",sell
66,QTRX,Madaus Martin D,Director,"Jul 21, 2020",$31.45,1600,50320,11196,"Jul 22, 2020, 07:13 PM",sell
67,QTRX,Madaus Martin D,Director,"Jul 20, 2020",$31.05,1600,49680,11196,"Jul 22, 2020, 07:13 PM",sell
68,NFLX,HASTINGS REED,CEO,"Jul 21, 2020",$494.83,43239,21396065,41839,"Jul 22, 2020, 07:03 PM",sell
69,EXEL,Haley Patrick J.,"EVP, Commercial","Jul 20, 2020",$25.36,3151,79909,112189,"Jul 22, 2020, 07:01 PM",sell
70,CRM,Benioff Marc,Chair of the Board & CEO,"Jul 22, 2020",$190.40,15000,2856030,29985400,"Jul 22, 2020, 07:01 PM",sell
71,ZM,Pelosi Janine,Chief Marketing Officer,"Jul 20, 2020",$252.53,9375,2367436,10156,"Jul 22, 2020, 06:55 PM",sell
72,PGR,Sieger Michael D,Claims President,"Jul 21, 2020",$88.05,2868,252527,60433,"Jul 22, 2020, 06:55 PM",sell
73,PGR,Murphy John Jo,CRM President,"Jul 21, 2020",$88.05,12417,1093317,22369,"Jul 22, 2020, 06:49 PM",sell
74,PGR,Charney M Jeffrey,Chief Marketing Officer,"Jul 21, 2020",$88.05,21252,1871239,79211,"Jul 22, 2020, 06:45 PM",sell
75,CABO,Bowker Michael E.,Chief Operating Officer,"Jul 20, 2020",$1802.00,327,589254,2357,"Jul 22, 2020, 06:43 PM",sell
76,DBX,Regan Timothy,Chief Accounting Officer,"Jul 20, 2020",$21.70,2000,43400,140046,"Jul 22, 2020, 06:40 PM",sell
77,TRUP,Friedman Gavin,Chief People Officer,"Jul 20, 2020",$49.52,300,14856,2011,"Jul 22, 2020, 06:38 PM",sell
78,NTGR,Cormack Heidi,"SVP, Marketing","Jul 21, 2020",$29.51,1340,39543,42035,"Jul 22, 2020, 06:37 PM",sell
79,PHR,CAHILL EDWARD L,Director,"Jul 21, 2020",$29.02,9080,263520,46467,"Jul 22, 2020, 06:35 PM",sell
80,NTGR,WAECHTER THOMAS H,Director,"Jul 21, 2020",$30.00,2133,63990,31820,"Jul 22, 2020, 06:34 PM",sell
81,NTGR,FALCON MICHAEL F,Chief Operations Officer,"Jul 21, 2020",$30.00,8278,248340,66553,"Jul 22, 2020, 06:31 PM",sell
82,CODA,Ezralow Bryan,Former 10% owner,"Jul 20, 2020",$6.21,12000,74496,896079,"Jul 22, 2020, 06:30 PM",sell
83,AMPH,Liawatidewi Yakob,EVP Corp Admin Center,"Jul 20, 2020",$21.03,4186,88047,45996,"Jul 22, 2020, 06:28 PM",sell
84,AMPH,Liawatidewi Yakob,EVP Corp Admin Center,"Jul 21, 2020",$21.22,5978,126837,45996,"Jul 22, 2020, 06:28 PM",sell
85,TWLO,Lawson Jeff,Chief Executive Officer,"Jul 20, 2020",$255.80,35000,8953017,84914,"Jul 22, 2020, 06:28 PM",sell
86,BGNE,OYLER JOHN,Chief Executive Officer,"Jul 22, 2020",$238.34,27748,6613503,21612,"Jul 22, 2020, 06:22 PM",sell
87,Z AND ZG,Wacksman Jeremy,"President, Zillow","Jul 20, 2020",$65.81,43700,2875778,27407,"Jul 22, 2020, 06:17 PM",sell
88,Z AND ZG,Prawer Arik,"President, Homes","Jul 20, 2020",$65.00,3515,228475,139227,"Jul 22, 2020, 06:17 PM",sell
89,Z AND ZG,Frink Lloyd D,Chairman & President,"Jul 20, 2020",$65.24,1500,97858,875555,"Jul 22, 2020, 06:16 PM",sell
90,Z AND ZG,Frink Lloyd D,Chairman & President,"Jul 20, 2020",$65.24,6000,391432,3023567,"Jul 22, 2020, 06:16 PM",sell
91,Z AND ZG,BARTON RICHARD N,Chief Executive Officer,"Jul 20, 2020",$65.73,500000,32863854,5397713,"Jul 22, 2020, 06:16 PM",sell
92,Z AND ZG,BARTON RICHARD N,Chief Executive Officer,"Jul 22, 2020",$67.68,70930,4800634,4852340,"Jul 22, 2020, 06:16 PM",sell
93,Z AND ZG,BARTON RICHARD N,Chief Executive Officer,"Jul 21, 2020",$67.70,29070,1967998,4923270,"Jul 22, 2020, 06:16 PM",sell
94,VCYT,Hanna John Walter JR,Chief Commercial Officer,"Jul 20, 2020",$32.05,11294,361993,74524,"Jul 22, 2020, 06:16 PM",sell
95,VCYT,Hanna John Walter JR,Chief Commercial Officer,"Jul 21, 2020",$32.36,653,21131,74524,"Jul 22, 2020, 06:16 PM",sell
96,PIRS,"Aquilo Capital Management, LLC",10% Owner,"Jul 21, 2020",$2.95,1900000,5605000,3675530,"Jul 22, 2020, 06:15 PM",sell
97,BGNE,OYLER JOHN,Chief Executive Officer,"Jul 21, 2020",$251.83,26413,6651696,22003,"Jul 22, 2020, 06:14 PM",sell
98,BGNE,OYLER JOHN,Chief Executive Officer,"Jul 20, 2020",$251.85,28762,7243784,28062,"Jul 22, 2020, 06:14 PM",sell
99,AMGN,SUGAR RONALD D,Director,"Jul 22, 2020",$259.79,1000,259790,15589,"Jul 22, 2020, 06:11 PM",sell
100,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 22, 2020",$32.00,100,3200,272207,"Jul 22, 2020, 06:09 PM",sell
101,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 21, 2020",$32.09,3447,110614,272207,"Jul 22, 2020, 06:09 PM",sell
102,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 20, 2020",$32.04,20349,651911,272207,"Jul 22, 2020, 06:09 PM",sell
1,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 20, 2020",$32.04,20349,651911,272207,"Jul 22, 2020, 06:09 PM",sell
2,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 22, 2020",$32.00,100,3200,272207,"Jul 22, 2020, 06:09 PM",sell
3,VCYT,Anderson Bonnie H,Chairman and CEO,"Jul 21, 2020",$32.09,3447,110614,272207,"Jul 22, 2020, 06:09 PM",sell
4,MDLA,Stretch Leslie,President & CEO,"Jul 20, 2020",$29.18,30482,889419,1653471,"Jul 22, 2020, 06:07 PM",sell
5,MDLA,Oulman Roxanne,CFO and EVP,"Jul 21, 2020",$29.59,88368,2614924,452530,"Jul 22, 2020, 06:06 PM",sell
6,ON,KEETON SIMON,"EVP & GM, Pwr Sol Grp","Jul 20, 2020",$21.29,620,13200,134333,"Jul 22, 2020, 06:01 PM",sell
7,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring","Jul 22, 2020",$5.28,2744,14488,90840,"Jul 22, 2020, 05:49 PM",sell
8,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring","Jul 21, 2020",$5.29,31301,165676,93584,"Jul 22, 2020, 05:49 PM",sell
9,RMNI,Maddock Kevin,"EVP, Global Sales - Recurring","Jul 20, 2020",$5.23,15735,82230,124885,"Jul 22, 2020, 05:49 PM",sell
10,TWST,Leproust Emily M.,President & CEO,"Jul 21, 2020",$59.33,15000,889967,703055,"Jul 22, 2020, 05:48 PM",sell
11,ALTA,"Fairclough, Jr. Fred W.",Director,"Jul 22, 2020",$20.40,3750,76489,176676,"Jul 22, 2020, 05:47 PM",sell
12,CARG,Steinert Langley,CEO and Chairman,"Jul 20, 2020",$24.77,1347,33368,171313,"Jul 22, 2020, 05:42 PM",sell
13,CARG,Steinert Langley,CEO and Chairman,"Jul 20, 2020",$24.77,16377,405696,805876,"Jul 22, 2020, 05:42 PM",sell
14,CARG,Steinert Langley,CEO and Chairman,"Jul 21, 2020",$24.49,1023,25053,169779,"Jul 22, 2020, 05:42 PM",sell
15,CARG,Steinert Langley,CEO and Chairman,"Jul 21, 2020",$24.49,12443,304729,787213,"Jul 22, 2020, 05:42 PM",sell
16,MGTX,SHENK THOMAS E,Director,"Jul 20, 2020",$15.00,6667,100005,157476,"Jul 22, 2020, 05:39 PM",sell
17,KWR,BARRY MICHAEL F,"Chairman, CEO and President","Jul 20, 2020",$198.72,13544,2691501,134913,"Jul 22, 2020, 05:38 PM",sell
18,HCAC,"GLAZER CAPITAL, LLC",10% Owner,"Jul 22, 2020",$11.13,28855,321241,3138331,"Jul 22, 2020, 05:37 PM",sell
19,HCAC,"GLAZER CAPITAL, LLC",10% Owner,"Jul 21, 2020",$11.13,5577,62095,3144308,"Jul 22, 2020, 05:37 PM",sell
20,HCAC,"GLAZER CAPITAL, LLC",10% Owner,"Jul 20, 2020",$11.05,100000,1105000,3144408,"Jul 22, 2020, 05:37 PM",sell
21,MGTX,Naylor Stuart,Chief Development Officer,"Jul 21, 2020",$15.04,7698,115778,463963,"Jul 22, 2020, 05:37 PM",sell
22,MGTX,Naylor Stuart,Chief Development Officer,"Jul 20, 2020",$15.00,2356,35340,471661,"Jul 22, 2020, 05:37 PM",sell
23,HZNP,GREY MICHAEL G,Director,"Jul 22, 2020",$60.00,1755,105300,0,"Jul 22, 2020, 05:33 PM",sell
24,BMRN,FUCHS HENRY J,"President, Worldwide R&D","Jul 20, 2020",$130.00,126389,16430570,102995,"Jul 22, 2020, 05:32 PM",sell
25,PRTH,Kiewiet Sean,Chief Technology Officer,"Jul 20, 2020",$2.68,10000,26760,2231587,"Jul 22, 2020, 05:26 PM",sell
26,LVGO,SHAPIRO LEE,Chief Financial Officer,"Jul 21, 2020",$113.83,48565,5528154,1899919,"Jul 22, 2020, 05:23 PM",sell
27,BLUE,WENTWORTH KORY JAMES,Principal Accounting Officer,"Jul 20, 2020",$66.38,596,39562,9594,"Jul 22, 2020, 05:22 PM",sell
28,IPGP,Burgomaster Thomas J,Chief Accounting Officer,"Jul 21, 2020",$181.82,1690,307268,6890,"Jul 22, 2020, 05:18 PM",sell
29,IPGP,Burgomaster Thomas J,Chief Accounting Officer,"Jul 20, 2020",$180.01,741,133387,6200,"Jul 22, 2020, 05:18 PM",sell
30,SMP,SILLS PETER J,Director Emeritus,"Jul 21, 2020",$40.76,6586,268445,759954,"Jul 22, 2020, 05:18 PM",sell
31,INFO,Granat Sari Beth,"EVP, Chief Admin Officer & GC","Jul 21, 2020",$80.00,60000,4800000,49898,"Jul 22, 2020, 05:17 PM",sell
32,IPGP,Lopresti Angelo P,"SVP, Secretary & Gen Counsel","Jul 21, 2020",$182.15,4499,819498,48851,"Jul 22, 2020, 05:16 PM",sell
33,IPGP,Lopresti Angelo P,"SVP, Secretary & Gen Counsel","Jul 20, 2020",$180.01,2824,508348,41875,"Jul 22, 2020, 05:16 PM",sell
34,WORK,Henderson Cal,Chief Technology Officer,"Jul 20, 2020",$33.02,1500,49528,144396,"Jul 22, 2020, 05:14 PM",sell
35,WORK,Henderson Cal,Chief Technology Officer,"Jul 21, 2020",$33.03,1500,49544,142795,"Jul 22, 2020, 05:14 PM",sell
36,BILL,Chung Bora,SVP of Products,"Jul 20, 2020",$88.00,4500,396000,0,"Jul 22, 2020, 05:12 PM",sell
37,DDOG,OBSTLER DAVID M,Chief Financial Officer,"Jul 20, 2020",$91.65,205000,18787647,515994,"Jul 22, 2020, 05:12 PM",sell
38,MA,Mastercard Foundation,10% Owner,"Jun 29, 2020",$289.57,68670,19884751,110757854,"Jul 22, 2020, 05:07 PM",sell
39,OKTA,Kerrest Jacques Frederic,See Remarks,"Jul 20, 2020",$212.25,2755,584737,10047,"Jul 22, 2020, 05:06 PM",sell
40,OKTA,Kerrest Jacques Frederic,See Remarks,"Jul 20, 2020",$210.38,400720,84303983,360717,"Jul 22, 2020, 05:06 PM",sell
41,MA,Mastercard Foundation,10% Owner,"Jul 22, 2020",$311.87,68661,21413348,109727813,"Jul 22, 2020, 05:05 PM",sell
42,OKTA,HOROWITZ BENJAMIN A,Director,"Jul 20, 2020",$207.05,37882,7843612,979573,"Jul 22, 2020, 05:04 PM",sell
43,KSU,Songer Jeffrey M,EVP & COO,"Jul 21, 2020",$157.50,4492,707503,31399,"Jul 22, 2020, 05:02 PM",sell
44,NET,SEIFERT THOMAS J,Chief Financial Officer,"Jul 21, 2020",$38.33,15000,575010,100,"Jul 22, 2020, 05:00 PM",sell
45,SO,Kuczynski Stephen E,"Pres. & CEO, Southern Nuclear","Jul 21, 2020",$55.00,2500,137500,76996,"Jul 22, 2020, 04:59 PM",sell
46,MIME,Murray Neil,Director,"Jul 20, 2020",$42.60,35000,1491137,1247265,"Jul 22, 2020, 04:56 PM",sell
47,PLAN,CALDERONI FRANK,Chairman and CEO,"Jul 21, 2020",$45.87,50630,2322398,1525571,"Jul 22, 2020, 04:52 PM",sell
48,SLAB,Tolany Brandon,SR VP of Worldwide Sales,"Jul 21, 2020",$105.13,16170,1699952,38606,"Jul 22, 2020, 04:52 PM",sell
49,ILMN,TOUSI SUSAN H,SVP Product Development,"Jul 20, 2020",$400.00,500,200000,46354,"Jul 22, 2020, 04:49 PM",sell
50,KOD,EHRLICH JASON,See Remarks,"Jul 20, 2020",$50.44,6950,350526,39460,"Jul 22, 2020, 04:47 PM",sell
51,BGNE,Wang Xiaodong,Director,"Jul 20, 2020",$251.31,12000,3015740,11500,"Jul 22, 2020, 04:47 PM",sell
52,BGNE,Wang Xiaodong,Director,"Jul 20, 2020",$251.98,5000,1259896,4700,"Jul 22, 2020, 04:47 PM",sell
53,ILMN,FLATLEY JAY T,Director,"Jul 21, 2020",$399.00,4000,1596000,226933,"Jul 22, 2020, 04:46 PM",sell
54,STMP,Buerba Sebastian,Chief Marketing Officer,"Jul 20, 2020",$240.00,544,130560,0,"Jul 22, 2020, 04:46 PM",sell
55,STMP,Buerba Sebastian,Chief Marketing Officer,"Jul 06, 2020",$201.45,4318,869851,4785,"Jul 22, 2020, 04:46 PM",sell
56,STMP,Buerba Sebastian,Chief Marketing Officer,"Jul 02, 2020",$197.95,23451,4642241,19715,"Jul 22, 2020, 04:46 PM",sell
57,STMP,Buerba Sebastian,Chief Marketing Officer,"Jul 01, 2020",$196.35,46644,9158615,4137,"Jul 22, 2020, 04:46 PM",sell
58,DELL,Rothberg Richard J,General Counsel & Secretary,"Jul 20, 2020",$61.07,63653,3887398,136074,"Jul 22, 2020, 04:45 PM",sell
59,PD,Solomon Dan Alexandru,CTO & Co-Founder,"Jul 20, 2020",$27.02,21951,593092,3593848,"Jul 22, 2020, 04:42 PM",sell
60,TENB,Yoran Amit,"President, CEO and Chairman","Jul 20, 2020",$30.24,6421,194171,1294471,"Jul 22, 2020, 04:35 PM",sell
61,QTWO,Breeden John E,"EVP, Operations","Jul 20, 2020",$93.00,7614,708102,64580,"Jul 22, 2020, 04:33 PM",sell
62,QTWO,Seale R. H.,Director,"Jul 21, 2020",$95.00,1480,140600,3955,"Jul 22, 2020, 04:33 PM",sell
63,QTWO,Seale R. H.,Director,"Jul 21, 2020",$95.00,1481,140695,3953,"Jul 22, 2020, 04:33 PM",sell
64,YEXT,Distelburger Brian,President,"Jul 21, 2020",$16.81,10000,168140,3535320,"Jul 22, 2020, 04:31 PM",sell
65,HMTV,Hindery Leo J. Jr.,Director,"Jul 21, 2020",$9.84,4989,49092,36344,"Jul 22, 2020, 04:31 PM",sell
66,HMTV,Hindery Leo J. Jr.,Director,"Jul 20, 2020",$9.65,5011,48356,41333,"Jul 22, 2020, 04:31 PM",sell
67,REGN,Fenimore Christopher R.,VP Controller,"Jul 21, 2020",$642.04,3709,2381317,20994,"Jul 22, 2020, 04:31 PM",sell
68,PGNY,"TPG Group Holdings (SBS) Advisors, Inc.",10% Owner,"Jul 21, 2020",$26.21,54738,1434426,18910815,"Jul 22, 2020, 04:31 PM",sell
69,PGNY,"TPG Group Holdings (SBS) Advisors, Inc.",10% Owner,"Jul 20, 2020",$26.11,62882,1641994,18937236,"Jul 22, 2020, 04:31 PM",sell
70,ORLY,WILBANKS CARL DAVID,SVP OF MERCHANDISE,"Jul 21, 2020",$445.82,10000,4458249,807,"Jul 22, 2020, 04:31 PM",sell
71,REGN,Landry Robert E,EVP Finance CFO,"Jul 21, 2020",$647.58,391,253204,24672,"Jul 22, 2020, 04:30 PM",sell
72,BLK,FINK LAURENCE,Chairman and CEO,"Jul 21, 2020",$580.29,41706,24201455,787171,"Jul 22, 2020, 04:30 PM",sell
73,AAXN,Cullivan Julie A,Director,"Jul 21, 2020",$93.13,840,78228,8421,"Jul 22, 2020, 04:30 PM",sell
74,TRHC,Knowlton Orsula V,President,"Jul 20, 2020",$58.51,8000,468042,732162,"Jul 22, 2020, 04:29 PM",sell
75,VREX,Yankton Kevin Bruce,Chief Accounting Officer,"Jul 20, 2020",$16.34,1629,26618,0,"Jul 22, 2020, 04:27 PM",sell
76,TRHC,Knowlton Calvin H,Chief Executive Officer,"Jul 20, 2020",$58.51,8000,468042,727872,"Jul 22, 2020, 04:25 PM",sell
77,BLK,McCombe Mark,Senior Managing Director,"Jul 20, 2020",$580.16,3000,1740472,22471,"Jul 22, 2020, 04:22 PM",sell
78,ELVG,LAZARETOS PANAGIOTIS NIKOLAOS,10% Owner,"Jul 16, 2020",$0.79,1000,792,6849800,"Jul 22, 2020, 04:19 PM",sell
79,ELVG,LAZARETOS PANAGIOTIS NIKOLAOS,10% Owner,"Jul 15, 2020",$0.74,200,147,6850800,"Jul 22, 2020, 04:19 PM",sell
80,AMD,Norrod Forrest Eugene,SVP & GM DESG,"Jul 20, 2020",$55.25,75000,4143750,677100,"Jul 22, 2020, 04:17 PM",sell
81,NKE,Campion Andrew,CHIEF OPERATING OFFICER,"Jul 21, 2020",$98.56,56313,5550209,125993,"Jul 22, 2020, 04:16 PM",sell
82,TTGT,MARINO ROGER M,Director,"Jul 20, 2020",$33.46,59869,2003217,1629015,"Jul 22, 2020, 04:16 PM",sell
83,TTGT,MARINO ROGER M,Director,"Jul 21, 2020",$33.81,29854,1009364,212101,"Jul 22, 2020, 04:16 PM",sell
84,TTGT,MARINO ROGER M,Director,"Jul 21, 2020",$33.82,30131,1019030,1598884,"Jul 22, 2020, 04:16 PM",sell
85,TTGT,MARINO ROGER M,Director,"Jul 20, 2020",$33.45,60146,2011884,241955,"Jul 22, 2020, 04:16 PM",sell
86,ADPT,GOEL DAVID E.,Director,"Jul 20, 2020",$40.00,2000000,80000000,13115090,"Jul 22, 2020, 04:15 PM",sell
87,MS,Hotsuki Keishi,Chief Risk Officer,"Jul 20, 2020",$52.00,19000,988000,243666,"Jul 22, 2020, 04:11 PM",sell
88,IMUX,Groeppel Manfred,Chief Operating Officer,"Jul 20, 2020",$14.44,5000,72200,279480,"Jul 22, 2020, 04:06 PM",sell
89,IMUX,Groeppel Manfred,Chief Operating Officer,"Jul 21, 2020",$15.62,650,10155,278830,"Jul 22, 2020, 04:06 PM",sell
90,IMUX,Vitt Daniel,Chief Executive Officer,"Jul 21, 2020",$15.62,1300,20310,362877,"Jul 22, 2020, 04:05 PM",sell
91,IMUX,Vitt Daniel,Chief Executive Officer,"Jul 20, 2020",$14.44,5000,72200,364177,"Jul 22, 2020, 04:05 PM",sell
92,NK,Simon Barry J.,See remarks,"Jul 21, 2020",$15.50,1565,24258,3170540,"Jul 22, 2020, 04:05 PM",sell
93,NK,Simon Barry J.,See remarks,"Jul 20, 2020",$15.53,128435,1995071,3170540,"Jul 22, 2020, 04:05 PM",sell
94,HOOK,SOFINNOVA CAPITAL VI FCPR,10% Owner,"Jun 29, 2020",$11.78,3280,38628,3960574,"Jul 22, 2020, 04:03 PM",sell
95,HOOK,SOFINNOVA CAPITAL VI FCPR,10% Owner,"Jul 20, 2020",$11.94,12483,149102,3948091,"Jul 22, 2020, 04:03 PM",sell
96,AAOI,Chang Hung-Lun (Fred),*** See Remarks,"Jul 20, 2020",$12.00,1080,12960,104379,"Jul 22, 2020, 04:01 PM",sell
97,JBHT,Bracy Kevin,"VP, Treasurer","Jul 22, 2020",$133.26,1249,166445,3599,"Jul 22, 2020, 03:53 PM",sell
98,KR,MOORE CLYDE R,Director,"Jul 21, 2020",$34.89,13000,453570,119677,"Jul 22, 2020, 03:40 PM",sell
99,UFPI,PETERS ALLEN T,"Pres & COO, UFP Retail, LLC","Jul 22, 2020",$52.00,1767,91884,127224,"Jul 22, 2020, 03:25 PM",sell
100,ISRG,Samath Jamie,SVP of Finance,"Jul 21, 2020",$663.33,752,498824,207,"Jul 22, 2020, 03:15 PM",sell
101,ISRG,LEVY ALAN J,Director,"Jul 21, 2020",$670.71,1800,1207276,7839,"Jul 22, 2020, 03:13 PM",sell
